,direction,area,long,lat,bellat,bellong,0,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,x0,y0,x1,y1,PHV,width
38,arrival,Mowbray,18.495859,-33.950032799999995,-33.905803999999996,18.629444,0.0,11.0,104.0,246.0,92.0,74.0,30.0,32.0,117.0,89.0,37.0,106.0,129.0,71.0,37.0,0.0,2058949.6056641862,-4022094.623698636,2073820.2198418058,-4016160.806763937,361.0,1.2987494210282537
39,arrival,Northpine,18.7155487,-33.8673434,-33.905803999999996,18.629444,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,2083405.3512007133,-4011003.364293922,2073820.2198418058,-4016160.806763937,15.0,1.0347383047707273
40,arrival,Nyanga,18.584906399999998,-33.995381099999996,-33.905803999999996,18.629444,0.0,35.0,223.0,366.0,224.0,181.0,114.0,102.0,109.0,45.0,106.0,113.0,107.0,109.0,29.0,0.0,2068862.3168886509,-4028181.837574946,2073820.2198418058,-4016160.806763937,624.0,1.2477999073645205
41,arrival,Paarl,18.962109100000003,-33.7342304,-33.905803999999996,18.629444,0.0,0.0,0.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,19.0,0.0,2110852.3293784996,-3993171.245298633,2073820.2198418058,-4016160.806763937,15.0,1.0254747568318665
42,arrival,Parow,18.5808115,-33.906791600000005,-33.905803999999996,18.629444,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2068406.4747058018,-4016293.2713703136,2073820.2198418058,-4016160.806763937,8.0,1.0
43,arrival,Pinehurst,18.685853299999998,-33.8343029,-33.905803999999996,18.629444,0.0,15.0,59.0,28.0,15.0,0.0,0.0,0.0,30.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,2080099.6743938106,-4006574.5949252336,2073820.2198418058,-4016160.806763937,102.0,1.0
44,arrival,Samora Machel,18.5791109,-34.0207739,-33.905803999999996,18.629444,0.0,0.0,50.0,44.0,45.0,23.0,29.0,44.0,15.0,45.0,17.0,14.0,26.0,37.0,14.0,0.0,2068217.1647797588,-4031591.7945584888,2073820.2198418058,-4016160.806763937,94.0,1.0602130616025938
45,arrival,Serepta,18.668037100000003,-33.933983500000004,-33.905803999999996,18.629444,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2078116.38408194,-4019941.0639529084,2073820.2198418058,-4016160.806763937,15.0,1.0
46,arrival,Silversands,18.6784297,-33.9740437,-33.905803999999996,18.629444,0.0,30.0,15.0,30.0,30.0,0.0,14.0,15.0,0.0,59.0,19.0,16.0,7.0,0.0,14.0,0.0,2079273.2830219576,-4025317.26148322,2073820.2198418058,-4016160.806763937,75.0,1.016211208893006
47,arrival,Khayelitsha Site B,18.673114,-34.023779299999994,-33.905803999999996,18.629444,0.0,0.0,30.0,75.0,28.0,38.0,10.0,58.0,15.0,57.0,22.0,40.0,27.0,0.0,4.0,0.0,2078681.5420047482,-4031995.452239381,2073820.2198418058,-4016160.806763937,105.0,1.0625289485873088
48,arrival,Khayelitsha Site C,18.649672,-34.014463899999996,-33.905803999999996,18.629444,0.0,0.0,30.0,105.0,15.0,33.0,44.0,41.0,15.0,41.0,29.0,60.0,23.0,0.0,0.0,0.0,2076071.990501572,-4030744.339908506,2073820.2198418058,-4016160.806763937,135.0,1.0532654006484483
49,arrival,Somerset West,18.843265600000002,-34.0756899,-33.905803999999996,18.629444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2097622.731474409,-4038969.864098641,2073820.2198418058,-4016160.806763937,0.0,1.0
50,arrival,Stellenbosch,18.860152,-33.9321045,-33.905803999999996,18.629444,0.0,4.0,14.0,44.0,45.0,43.0,29.0,44.0,14.0,30.0,44.0,59.0,25.0,44.0,0.0,0.0,2099502.51692374,-4019688.958706312,2073820.2198418058,-4016160.806763937,62.0,1.0578971746178787
51,arrival,Tygerberg Hospital,18.612292899999996,-33.9105696,-33.905803999999996,18.629444,0.0,0.0,20.0,72.0,44.0,65.0,47.0,45.0,55.0,35.0,72.0,95.0,96.0,5.0,0.0,0.0,2071910.968123261,-4016800.020330102,2073820.2198418058,-4016160.806763937,92.0,1.222325150532654
52,arrival,Tygervalley,18.6350371,-33.8735434,-33.905803999999996,18.629444,0.0,12.0,78.0,158.0,155.0,48.0,12.0,30.0,8.0,83.0,31.0,39.0,153.0,38.0,55.0,0.0,2074442.840885762,-4011834.607136845,2073820.2198418058,-4016160.806763937,248.0,1.3543307086614174
53,arrival,Wallacedene,18.731882199999998,-33.8607445,-33.905803999999996,18.629444,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2085223.588103585,-4010118.70667617,2073820.2198418058,-4016160.806763937,0.0,1.0
54,arrival,Welgemoed,18.614593799999998,-33.8723559,-33.905803999999996,18.629444,0.0,10.0,51.0,138.0,52.0,42.0,3.0,37.0,6.0,0.0,7.0,53.0,136.0,50.0,0.0,0.0,2072167.1031396273,-4011675.3926434536,2073820.2198418058,-4016160.806763937,199.0,1.3149606299212597
55,arrival,Wesbank,18.7051551,-33.9886729,-33.905803999999996,18.629444,0.0,29.0,259.0,182.0,101.0,85.0,79.0,14.0,11.0,80.0,69.0,59.0,123.0,101.0,2.0,0.0,2082248.3409412042,-4027281.174738624,2073820.2198418058,-4016160.806763937,470.0,1.284854099119963
56,arrival,Worcester,19.4616074,-33.653890000000004,-33.905803999999996,18.629444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2166456.225786605,-3982422.0521440194,2073820.2198418058,-4016160.806763937,0.0,1.0
