TAZ Number,Area_Name,EmployedIF2,Other1,Other2,Other3,Other4,Other5,Retired1,Retired2,Retired3,Retired4,Retired5,School1,School2,School3,School4,School5,Student1,Student2,Student3,Student4,Student5,Unemployed2,EmployedF1,EmployedF2,EmployedF3,EmployedF4,EmployedF5,EmployedIF1,EmployedIF2,EmployedIF3,EmployedIF4,EmployedIF5
6,Thembalethu SP,0,15.89912281,5.856561468,8.324074074,3.158304162,0.825806952,0,0,0,0,0,25.59361509,10.31286432,13.38844263,5.159833421,1.030919153,1.277624309,0.503170664,0.670844625,0.25692359,0.053252525,40.73675778,26.87793427,11.91347754,16.25054284,6.312946313,1.280645913,12.87492926,6.44354174,8.97463995,3.545800574,0.702887538
2,Levallia,0,0,0.442107622,0.966735967,2.861017377,17.45508078,0,0.111988736,0.26495272,0.747487725,4.526822895,0,2.614157073,5.221184982,15.69528846,73.1703301,0,0.587485749,1.205009888,3.599707816,17.40925799,11.7499734,0,2.897872915,6.081284224,18.42697843,87.22237026,0,1.504654071,3.224153396,9.935908203,45.95744681
6,Thembalethu SP,7.285916423,5.954887218,6.854773423,4.496703297,4.435939323,4.832801277,1.285437252,0.947104738,0.672222901,0.632161048,0.683642641,23.94176853,30.14768157,18.06394389,18.10054046,15.06847243,2.523125493,3.105281815,1.910801394,1.902702703,1.643220779,30.75848915,14.37585513,19.91252674,12.53613305,12.6619666,10.70254084,2.542614601,3.97658576,2.556293049,2.625918597,2.168910117
6,Thembalethu SP,4.857277615,6.5625,3.021682792,7.079326923,2.793465578,3.652060056,0.410067873,0.120854511,0.306351583,0.115237691,0.149546828,22.91302067,11.54090935,24.69679828,9.898733064,9.888685034,1.60980663,0.792493797,1.741615854,0.693693694,0.718909091,40.88656661,16.93309859,9.381863561,21.09445465,8.522477522,8.64435991,9.192699491,5.750861003,13.20307608,5.425074878,5.377089666
1,Denneoord,0,2.583732057,0.39655714,1.300699301,2.138538241,22.3666836,2.454016572,0.241081206,0.85555642,1.340947677,13.92145015,7.935245252,1.332283908,3.991401742,6.665813511,53.27237729,1.505273732,0.247011053,0.759977827,1.261261261,10.4568595,1.308681952,17.68079385,3.265375889,10.27875245,17.30321194,140.405361,0.202253434,0.04217591,0.135560995,0.232088765,1.840287372
6,Lawaaikamp,4.857277615,6.065468549,6.144217641,8.549718574,3.012209352,0.787607303,1.714569505,1.111693061,1.673725719,0.562135078,0.145899344,23.41865062,25.95029095,32.98260757,11.80336734,2.35827719,0.67308988,0.728983841,0.951516954,0.338387168,0.070137472,43.8085817,2.950017176,3.595836208,4.801989677,1.732210879,0.351396744,10.8526233,14.93644407,20.36721291,7.472126088,1.481206909
1,Eden George,4.857277615,3.594924812,0.662108797,1.447802198,2.856476079,41.07881085,2.259557669,0.266373207,0.63020897,1.185301965,16.92015537,5.195696296,1.046794499,2.090734246,4.189939921,46.04255465,1.23199487,0.242600142,0.49760453,0.990990991,11.29714286,5.258050343,11.01515342,2.441199192,5.122938987,10.34872271,115.4639502,0.33106961,0.082845537,0.177520351,0.364710916,3.976335215
2,Levallia,4.857277615,1.039794608,2.872621235,3.140712946,5.163787461,39.15533451,0.445788071,0.788291443,0.932504329,1.461551203,11.00081055,1.703174591,5.147165146,5.140146634,8.584267155,49.73820982,0.269235952,0.795255099,0.815585961,1.353548671,8.135946785,5.192562925,2.773016146,9.21841646,9.672579206,16.28278226,95.7907525,0.226096319,0.848661595,0.909250577,1.556692935,8.948958411
6,Thembalethu SP,9.714555231,2.243767313,1.549703561,1.882591093,0.557145489,0.971184946,0.887966523,0.39254999,0.51596056,0.145563399,0.251868342,30.32098975,22.90827119,25.41892689,7.641127277,10.17782787,4.357371329,3.217643986,3.666559692,1.095305832,1.513492823,46.84955342,22.15307635,18.41102548,21.4645328,6.503996004,8.796015347,5.854704673,5.493967168,6.540223445,2.015507695,2.663573828
6,Thembalethu SP,17.00047165,23.91194332,11.01018021,5.61760355,0,0,1.622246532,0.478105757,0.263933671,0,0,40.28662974,20.29170875,9.45655182,0,0,1.592116447,0.783785073,0.375117261,0,0,38.22990427,37.68079632,20.87722386,10.22269725,0,0,3.208828523,2.007411081,1.003672752,0,0
4,Heather Park,24.28638808,5.161370407,0.226336858,0,0.732348473,8.936123116,17.82634679,0.50035722,0,1.669859371,20.22550305,25.36284048,1.21665172,0,3.652362724,34.0541159,2.18690712,0.10253289,0,0.314125446,3.038408233,3.90632605,45.0484321,2.377075943,0,7.557668746,71.54702919,5.876797899,0.350139627,0,1.156064791,10.6945002
6,Thembalethu SP,17.00047165,4.214986619,4.399095733,4.809647979,2.232778909,0.729760439,0.714888302,0.477565525,0.564933088,0.250007194,0.081110144,20.71233506,23.64691031,23.61466613,11.13529796,2.780998679,1.403221275,1.565798881,1.605828855,0.752481295,0.194958398,37.75432823,8.610050131,10.81299529,11.34571798,5.392754139,1.367469364,13.66924693,19.38304726,20.76687221,10.03882251,2.487507084
6,George Central,17.00047165,1.647597254,1.517262101,1.658862876,3.272893308,13.90624241,0.978050083,0.576498536,0.681965262,1.282645604,5.409693945,3.542109475,3.568203857,3.563338367,7.141114996,23.18506507,2.639682921,2.598985867,2.66542948,5.308264787,17.87895652,11.55848901,14.93478261,16.54937423,17.3647105,35.07802343,115.6339739,0.644866022,0.806843487,0.864446925,1.775983592,5.720893353
6,Thembalethu SP,7.285916423,12.04805492,3.413839728,3.265886288,1.841002486,0.601712412,0.794665692,0.144124634,0.149179901,0.08016535,0.026008144,57.55927897,17.84101929,15.58960536,8.926393745,2.22933318,0,0,0,0,0,48.4394859,36.91625842,12.58684801,11.55609255,6.669765018,1.691287808,8.383258286,3.22737395,3.025564237,1.775983592,0.440068719
2,Parkdene,4.857277615,3.515625,1.295006911,4.955528846,7.682030338,6.391105098,1.537754525,0.362563532,1.501122754,2.218325552,1.83194864,16.36644333,6.594805344,23.05034506,36.29535457,23.07359841,1.293594613,0.509460298,1.828696646,2.861486486,1.887136364,34.95843723,8.693331866,3.853265391,14.15086333,22.4602793,14.49731193,6.083404075,3.044573472,11.41677755,18.42929848,11.62400266
6,Ballotsview,12.14319404,1.556390977,2.866541613,6.268131868,6.956359393,12.12593775,0.160679656,0.189420948,0.448148601,0.474120786,0.82037117,5.985442133,12.05907263,24.08525851,27.15081069,36.16433384,0.47308603,0.931584544,1.910801394,2.140540541,2.957797403,16.30175888,6.63501006,14.70463513,30.85817366,35.06390752,47.42048865,0.21188455,0.530211435,1.136130244,1.312959298,1.735128094
1,Denneoord,2.428638808,2.925696594,0.449042644,0.981900452,3.874528108,21.52793296,3.308110575,0.32498692,0.768882403,2.892240088,15.95166163,5.819179851,0.977008199,1.951351963,7.821221186,33.20644851,3.571335717,0.586045833,1.202056432,4.78784667,21.088,7.813678134,17.64457332,3.258686503,6.83846373,27.62842386,119.1000699,0.218116449,0.045483824,0.097462153,0.400466888,1.686930091
1,Denneoord,2.428638808,9.914320685,0,0.831842576,4.103009416,26.82051449,7.062431413,0,0.410368632,1.929561338,12.52019954,13.80363593,0,1.157197094,5.797707565,28.95911207,6.161120391,0,0.518434487,2.581185837,13.37505285,6.513613882,29.70324271,0,2.878003115,14.53445779,73.71159613,8.795672602,0,0.982554499,5.046581282,25.00971938
5,George South,46.14413735,3.666497976,0.964701504,3.691568047,3.121443317,20.40422217,2.649669335,0.44623204,1.847535698,1.489225545,9.663025796,8.225186905,2.367366021,8.274482843,7.106782712,35.49784371,2.971950701,0.836037412,3.000938086,2.561330561,13.27216783,1.290746163,11.72291441,3.711506464,13.63026301,11.80035349,59.84556861,4.24278438,1.516710594,5.687478927,5.007761426,24.81733692
6,Thembalethu SP,0,22.85206259,18.037991,13.14760915,4.863729541,0,1.063959887,0.537545932,0.423924352,0.149497545,0,42.9361108,37.07350031,24.68196537,9.274488636,0,4.17679558,3.524914493,2.410019776,0.899926954,0,10.97350971,25.62847354,24.34213248,17.02759583,6.449442449,0,0,0,0,0,0
3,Pacaltsdorp,2.428638808,8.289473684,3.469874976,4.552447552,4.490930307,4.892712037,0.937297996,0.251126256,0.356481842,0.335236919,0.362537764,41.70412227,19.09606935,22.88403666,22.93039848,19.08926853,0.919889503,0.411685089,0.506651885,0.504504505,0.435702479,38.60495714,24.99647887,12.59037967,15.85280228,16.01192747,13.53409885,1.853989813,1.054397739,1.35560995,1.392532589,1.150179608
3,Pacaltsdorp,0,10.49342105,7.027873762,4.802350427,4.737456243,8.670972998,0,0,0,0,0,32.00548918,23.44819678,14.63513972,14.66478972,20.50986526,0.843232044,0.603804797,0.387025745,0.385385385,0.559151515,24.89519258,24.39172535,19.65723794,12.89105562,13.02045177,18.48932536,10.19694397,9.278700106,6.213212273,6.382441033,8.856382979
1,Denneoord,4.857277615,5.800214823,0,2.335949765,2.88048008,22.59491506,4.016991412,0,1.120371502,1.317002183,10.25463962,14.2510527,0,5.73458536,7.18275415,43.05277838,1.12639531,0,0.454952713,0.566280566,3.521187384,3.904635915,23.20278816,0,10.7911768,13.62436883,82.91528893,9.837496968,0,5.27489042,6.773202729,40.27975932
6,Rosemoor,9.714555231,2.156954887,7.945305558,10.85851648,17.13885648,28.00828013,0.401699141,0.947104738,1.400464377,2.107203493,3.418213207,1.974364592,7.955638192,9.930987668,15.9217717,19.88201224,0.09855959,0.388160227,0.49760453,0.792792793,1.027012987,17.54466204,1.900653924,8.424530544,11.04947625,17.85661957,22.63999024,1.125636672,5.633496493,7.544614903,12.40017115,15.36311333
3,Pacaltsdorp,7.285916423,1.817625459,2.231786696,3.050089445,4.814197715,18.09490711,0.686625276,0.539629444,0.797939006,1.200615943,4.479449167,5.683850087,7.634296625,9.529858423,15.27866464,43.88157217,0.385070024,0.505510993,0.648043108,1.032474335,3.076262156,23.02516213,9.282263348,13.71435205,17.98751947,29.06891558,84.76833555,0.258696253,0.431567447,0.577973235,0.949944712,2.706934332
1,Loerie Park,12.14319404,3.206477733,0.369103184,2.017751479,1.990485594,23.94095402,3.979911491,0.293238198,1.734421267,1.63105655,19.4732977,8.594481011,1.082224467,5.403743897,5.41469159,49.76459614,2.377560561,0.292613094,1.500469043,1.494109494,14.24546014,1.307142237,14.88624052,2.061948035,10.81766905,10.92625323,101.9591169,3.879117148,0.606684238,3.249987958,3.338507617,30.44259995
